ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPICON,CAPACIDAD_MAXIMA
169,570 Ridgeview Trail,Nullam molestie nibh in lectus.,compartida,0,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4689
170,2961 Stephen Way,Cras non velit nec nisi vulputate nonummy.,sencilla,0,Integer non velit.,1562
171,07963 Meadow Vale Terrace,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,1,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",4443
172,6432 Havey Park,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2788
173,05 Riverside Alley,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",sencilla,0,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",3768
174,992 Bonner Place,Maecenas tincidunt lacus at velit.,sencilla,1,Morbi non quam nec dui luctus rutrum.,3267
175,41864 Vermont Road,Aenean lectus.,compartida,1,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",4984
176,55775 Novick Road,Donec posuere metus vitae ipsum.,compartida,1,In congue. Etiam justo.,1180
177,44 Kedzie Street,Fusce consequat.,sencilla,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",3378
178,39 Loomis Way,In congue.,compartida,1,Quisque id justo sit amet sapien dignissim vestibulum.,3647
179,9256 Scoville Terrace,Fusce posuere felis sed lacus.,compartida,0,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3408
180,5999 Graceland Place,Donec ut mauris eget massa tempor convallis.,sencilla,1,Nunc nisl.,1372
181,40 Mayer Street,Nam nulla.,compartida,1,Integer ac leo.,1814
182,9 Nova Park,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,0,Nullam molestie nibh in lectus. Pellentesque at nulla.,2705
183,1 Katie Place,Cras in purus eu magna vulputate luctus.,sencilla,0,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4690
184,940 Bluejay Drive,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sencilla,0,Nunc purus.,3214
185,94 Fulton Hill,Praesent id massa id nisl venenatis lacinia.,compartida,0,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3092
186,40 Sugar Court,Vivamus vestibulum sagittis sapien.,compartida,1,In eleifend quam a odio. In hac habitasse platea dictumst.,3953
187,0355 Pawling Road,Donec quis orci eget orci vehicula condimentum.,sencilla,1,Nulla mollis molestie lorem.,1556
188,1 Stone Corner Street,Curabitur gravida nisi at nibh.,compartida,0,Praesent blandit.,4914
189,64768 Tennyson Alley,Phasellus in felis.,sencilla,0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4418
190,73741 Chinook Junction,Etiam faucibus cursus urna.,sencilla,0,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1627
191,9099 Cardinal Road,Aliquam non mauris.,sencilla,1,Curabitur convallis.,2051
192,073 Summer Ridge Court,Duis bibendum.,sencilla,0,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,3213
193,010 Forest Street,Donec vitae nisi.,sencilla,0,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4517
194,7746 Starling Crossing,Pellentesque viverra pede ac diam.,compartida,0,Integer non velit.,1300
195,25144 Drewry Plaza,Vestibulum ac est lacinia nisi venenatis tristique.,sencilla,0,Duis mattis egestas metus. Aenean fermentum.,4025
196,9 Petterle Park,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,0,Phasellus id sapien in sapien iaculis congue.,4502
197,127 Lyons Drive,Fusce consequat.,compartida,0,Curabitur in libero ut massa volutpat convallis.,3680
198,6 Sachtjen Drive,Duis mattis egestas metus.,sencilla,0,Phasellus sit amet erat. Nulla tempus.,3916
199,16241 Hansons Drive,Mauris ullamcorper purus sit amet nulla.,sencilla,0,Integer a nibh.,4080
200,00943 Charing Cross Road,Sed ante.,compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1895
201,02449 Fulton Parkway,Donec posuere metus vitae ipsum.,sencilla,0,Nam nulla.,1852
202,2 Banding Way,In hac habitasse platea dictumst.,compartida,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",4324
203,08 Hanson Plaza,Nam tristique tortor eu pede.,compartida,1,Suspendisse accumsan tortor quis turpis. Sed ante.,3825
204,64 Logan Road,Morbi quis tortor id nulla ultrices aliquet.,sencilla,0,Proin at turpis a pede posuere nonummy.,2417
205,7 Farwell Street,Pellentesque ultrices mattis odio.,compartida,0,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,4614
206,1 Straubel Hill,Praesent blandit.,sencilla,1,Aliquam erat volutpat. In congue.,4724
207,471 Petterle Street,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",sencilla,1,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4812
208,7 Dunning Alley,Sed sagittis.,sencilla,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2703
209,436 Granby Crossing,Curabitur in libero ut massa volutpat convallis.,sencilla,0,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,3575
210,320 Springs Junction,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",compartida,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1213
211,14408 Kings Court,In hac habitasse platea dictumst.,compartida,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",4837
212,80 Norway Maple Hill,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,1,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,4879
213,30302 Brickson Park Way,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",sencilla,0,Duis at velit eu est congue elementum.,4755
214,78102 Banding Avenue,Phasellus id sapien in sapien iaculis congue.,sencilla,1,In quis justo.,3356
215,13589 Barnett Drive,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",compartida,0,Suspendisse potenti.,4808
216,7994 Moulton Lane,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,0,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2378
217,721 East Crossing,Nulla nisl.,compartida,0,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,2043
218,525 Bashford Terrace,Morbi a ipsum.,compartida,0,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1205
219,2073 Pond Alley,Mauris ullamcorper purus sit amet nulla.,compartida,0,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",4622
220,421 Sauthoff Terrace,Maecenas tincidunt lacus at velit.,sencilla,0,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",3040
221,360 Petterle Drive,Ut at dolor quis odio consequat varius.,compartida,1,In sagittis dui vel nisl. Duis ac nibh.,3426
222,12 Briar Crest Parkway,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,0,Donec quis orci eget orci vehicula condimentum.,2525
223,59354 Shoshone Alley,Morbi quis tortor id nulla ultrices aliquet.,sencilla,0,Morbi a ipsum.,1526
224,1 Carey Way,Etiam faucibus cursus urna.,sencilla,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2658
225,30530 Burrows Trail,Duis bibendum.,compartida,1,Sed accumsan felis.,2904
226,12702 Swallow Street,Cras non velit nec nisi vulputate nonummy.,sencilla,1,Praesent blandit lacinia erat.,4768
227,18 Thierer Park,Aliquam non mauris.,sencilla,0,Nunc nisl.,4751
228,0318 Golf Course Plaza,Integer a nibh.,sencilla,0,Morbi a ipsum.,4831
229,21 Trailsway Street,Ut at dolor quis odio consequat varius.,compartida,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2667
230,50 Nobel Parkway,Quisque id justo sit amet sapien dignissim vestibulum.,sencilla,0,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,3441
231,5564 Dakota Junction,Vivamus in felis eu sapien cursus vestibulum.,sencilla,0,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1173
232,338 Meadow Valley Circle,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",sencilla,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",1326
233,91227 Butterfield Lane,Etiam faucibus cursus urna.,compartida,1,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,2907
234,27075 Nova Avenue,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,0,Cras pellentesque volutpat dui.,3235
235,5 Forster Terrace,Pellentesque eget nunc.,compartida,0,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",3375
236,54 Bay Crossing,Nam dui.,sencilla,0,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3993
237,4317 Hooker Junction,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,1,Duis bibendum. Morbi non quam nec dui luctus rutrum.,4170
238,6701 7th Way,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,0,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2275
239,8 Kensington Terrace,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,0,In sagittis dui vel nisl.,2388
240,7 Lindbergh Junction,Pellentesque at nulla.,compartida,1,Integer ac leo.,4581
241,4 Thackeray Center,In congue.,sencilla,0,Nunc rhoncus dui vel sem.,3873
242,2785 Maywood Road,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,0,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1574
243,94 Oakridge Park,Nunc nisl.,compartida,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4408
244,73 Butternut Street,In hac habitasse platea dictumst.,compartida,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3567
245,322 Prairie Rose Parkway,Phasellus sit amet erat.,sencilla,0,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1371
246,4 Mitchell Junction,In hac habitasse platea dictumst.,compartida,0,Nam tristique tortor eu pede.,2014
247,388 Pleasure Point,Duis aliquam convallis nunc.,compartida,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2881
248,48 Sutherland Alley,Phasellus sit amet erat.,sencilla,0,Aliquam non mauris. Morbi non lectus.,1941
249,27 Prairieview Street,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",sencilla,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",3769
250,5759 Walton Point,Sed sagittis.,compartida,0,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1914
251,1119 Pennsylvania Parkway,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,0,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1577
252,27 Milwaukee Trail,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,1,Etiam pretium iaculis justo.,1637
253,775 Utah Lane,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",compartida,0,Praesent blandit lacinia erat.,1047
254,39428 Cordelia Junction,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",sencilla,0,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1071
255,86 Katie Park,Mauris lacinia sapien quis libero.,compartida,1,Aenean sit amet justo.,2680
256,09137 1st Parkway,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,0,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,4067
257,14236 Goodland Trail,Phasellus id sapien in sapien iaculis congue.,compartida,1,Nunc purus.,2959
258,8 Lakeland Park,Sed accumsan felis.,sencilla,1,Etiam vel augue. Vestibulum rutrum rutrum neque.,3929
259,624 Village Green Drive,Quisque porta volutpat erat.,compartida,0,Phasellus in felis.,2822
260,501 Orin Avenue,In blandit ultrices enim.,sencilla,1,Nulla mollis molestie lorem.,4353
261,63 Petterle Point,Vestibulum rutrum rutrum neque.,compartida,1,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",3345
262,2544 East Lane,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",3131
263,68933 Charing Cross Terrace,Suspendisse potenti.,sencilla,1,Phasellus in felis.,1473
264,333 Sloan Terrace,Maecenas tincidunt lacus at velit.,compartida,0,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,3637
265,059 Forest Run Place,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",sencilla,0,Sed accumsan felis.,3843
266,0 Calypso Terrace,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",compartida,0,Nullam porttitor lacus at turpis.,2956
267,8335 Kensington Crossing,Duis mattis egestas metus.,compartida,1,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",3884
268,91084 Norway Maple Junction,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,1,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2448
269,5195 Ludington Trail,Proin at turpis a pede posuere nonummy.,compartida,0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",3905
270,95520 Maryland Way,Vestibulum rutrum rutrum neque.,sencilla,0,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,3767
271,186 Badeau Terrace,Duis at velit eu est congue elementum.,compartida,0,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,3294
272,4 Claremont Center,Donec vitae nisi.,compartida,1,Morbi a ipsum. Integer a nibh.,1370
273,28931 Dottie Lane,Morbi ut odio.,sencilla,1,In eleifend quam a odio.,1472
274,57178 Briar Crest Place,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",4712
275,2099 Alpine Parkway,Nunc purus.,sencilla,0,Proin eu mi.,1358
276,18169 Mandrake Road,Suspendisse potenti.,sencilla,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",2018
277,8 Packers Lane,Vestibulum sed magna at nunc commodo placerat.,compartida,1,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,2676
278,283 Boyd Court,Proin risus.,compartida,0,In eleifend quam a odio.,1962
279,42436 Dunning Avenue,Suspendisse potenti.,sencilla,0,Donec posuere metus vitae ipsum. Aliquam non mauris.,2473
280,2 Killdeer Alley,Nulla suscipit ligula in lacus.,compartida,1,Phasellus in felis. Donec semper sapien a libero. Nam dui.,3725
281,02 Chive Drive,Suspendisse potenti.,compartida,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",4028
282,8227 Warner Lane,Mauris sit amet eros.,compartida,0,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2576
283,93322 Fairview Park,Nulla ut erat id mauris vulputate elementum.,sencilla,0,Proin at turpis a pede posuere nonummy. Integer non velit.,4949
284,2 Sunnyside Lane,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,compartida,0,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,3810
285,3930 Lien Circle,Aenean lectus.,compartida,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",4768
286,3049 Miller Junction,Nulla ac enim.,sencilla,0,Proin risus.,1252
287,02 Arapahoe Road,Suspendisse potenti.,compartida,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",1058
288,7263 Monterey Trail,Phasellus in felis.,sencilla,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",4182
289,854 Division Parkway,Nulla mollis molestie lorem.,compartida,0,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4836
290,8 Lerdahl Point,Phasellus in felis.,compartida,0,Proin at turpis a pede posuere nonummy.,3849
291,2529 Cody Center,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,1,Aliquam erat volutpat. In congue. Etiam justo.,4691
292,7959 Eggendart Street,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",compartida,1,Etiam vel augue.,3738
293,75988 Grim Pass,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,1,Vivamus vel nulla eget eros elementum pellentesque.,3449
294,121 Morning Junction,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,0,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,4669
295,49 Ramsey Lane,Maecenas ut massa quis augue luctus tincidunt.,compartida,1,Aliquam quis turpis eget elit sodales scelerisque.,1238
296,554 Scott Place,Curabitur at ipsum ac tellus semper interdum.,compartida,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2488
297,37 Center Center,Suspendisse potenti.,compartida,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",3970
298,8 2nd Trail,Curabitur in libero ut massa volutpat convallis.,compartida,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",3740
299,644 Westerfield Pass,Cras non velit nec nisi vulputate nonummy.,compartida,1,In congue.,1346
300,9 Luster Crossing,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",compartida,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4153
301,2908 Killdeer Drive,Vivamus tortor.,compartida,1,Aliquam quis turpis eget elit sodales scelerisque.,1107
302,27365 Hansons Way,Duis ac nibh.,sencilla,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,1742
303,39596 Northview Avenue,Donec vitae nisi.,compartida,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3233
304,86012 Rusk Hill,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3080
305,27 Jenna Point,Ut at dolor quis odio consequat varius.,sencilla,1,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2524
306,4 Arrowood Plaza,Nulla ut erat id mauris vulputate elementum.,compartida,1,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,3725
307,5279 Oneill Center,Curabitur convallis.,sencilla,0,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2472
308,8451 Straubel Avenue,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,0,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,4915
309,1510 Magdeline Road,Aenean lectus.,compartida,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2345
310,72302 Morningstar Crossing,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",3992
311,9234 Spenser Avenue,In hac habitasse platea dictumst.,compartida,1,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,2710
312,41877 Twin Pines Terrace,In quis justo.,compartida,0,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,4115
313,60 Calypso Plaza,Suspendisse potenti.,sencilla,1,Donec quis orci eget orci vehicula condimentum.,3533
314,855 6th Alley,In blandit ultrices enim.,sencilla,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2173
315,514 Bluejay Way,Etiam faucibus cursus urna.,sencilla,0,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",4719
316,74768 Sunfield Pass,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,1,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2990
317,035 Lunder Parkway,Mauris sit amet eros.,compartida,0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2882
318,04 International Place,Aenean auctor gravida sem.,compartida,1,Proin at turpis a pede posuere nonummy. Integer non velit.,2593
319,49171 Bobwhite Junction,Mauris sit amet eros.,sencilla,1,Integer ac neque. Duis bibendum.,2906
320,6 Northridge Center,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,1,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3273
321,1 Duke Crossing,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,0,Suspendisse accumsan tortor quis turpis. Sed ante.,1893
322,67971 Burning Wood Center,Curabitur in libero ut massa volutpat convallis.,sencilla,1,Proin eu mi. Nulla ac enim.,3169
323,91 Summerview Avenue,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",compartida,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4053
324,3424 Washington Parkway,Nulla suscipit ligula in lacus.,compartida,1,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1752
325,5506 Rigney Place,Praesent id massa id nisl venenatis lacinia.,compartida,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3672
326,1832 North Avenue,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sencilla,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2926
327,3 Monument Road,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,sencilla,0,Fusce consequat. Nulla nisl. Nunc nisl.,2384
328,6550 Merry Center,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",sencilla,1,Donec vitae nisi.,4268
329,435 Johnson Pass,Aenean lectus.,sencilla,1,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2271
330,02971 Farwell Pass,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",compartida,1,In sagittis dui vel nisl.,1955
331,3 Annamark Plaza,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",compartida,0,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,1513
332,8174 Westridge Avenue,Praesent lectus.,compartida,1,Proin at turpis a pede posuere nonummy. Integer non velit.,2874
333,7623 Hudson Crossing,Morbi porttitor lorem id ligula.,compartida,1,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1934
334,38 Clyde Gallagher Hill,Etiam justo.,sencilla,0,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2822
335,4440 Killdeer Junction,Donec ut mauris eget massa tempor convallis.,compartida,1,Proin at turpis a pede posuere nonummy.,2587
336,082 Sycamore Hill,Pellentesque ultrices mattis odio.,sencilla,1,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",3979
337,7 Eagan Parkway,Morbi non lectus.,compartida,1,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1753
338,22962 Loeprich Street,Aenean sit amet justo.,sencilla,1,Etiam justo.,3241
339,9 Blue Bill Park Place,Maecenas pulvinar lobortis est.,sencilla,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,2481
340,191 Superior Junction,Integer a nibh.,sencilla,0,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1564
