id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
233,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",sencilla,8,14,pequeño,8575 Loftsgordon Drive,6,28
234,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Etiam faucibus cursus urna. Ut tellus.,sencilla,2,8,pequeño,4 Artisan Drive,2,32
235,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,sencilla,4,10,pequeño,342 Fallview Lane,5,30
236,Sed vel enim sit amet nunc viverra dapibus.,Praesent blandit.,sencilla,9,15,pequeño,5975 Eastwood Park,6,7
237,Vivamus in felis eu sapien cursus vestibulum.,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,compartida,2,8,pequeño,9111 Westerfield Terrace,1,8
238,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Praesent blandit.,sencilla,6,12,pequeño,52038 Spenser Pass,2,21
239,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",compartida,2,8,mediano,7864 Farmco Lane,18,46
240,Suspendisse potenti.,Ut tellus.,compartida,1,7,grande,064 Service Lane,19,23
241,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Quisque porta volutpat erat.,sencilla,3,9,pequeño,0 Ronald Regan Parkway,12,30
242,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Proin eu mi.,compartida,1,7,pequeño,29972 Blackbird Park,7,33
243,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Suspendisse accumsan tortor quis turpis. Sed ante.,compartida,10,16,pequeño,81 Rutledge Pass,20,14
244,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Donec posuere metus vitae ipsum. Aliquam non mauris.,sencilla,5,11,pequeño,45 Crescent Oaks Court,5,34
245,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",sencilla,4,10,pequeño,76 Manitowish Court,14,18
246,Vivamus tortor.,Integer ac leo.,sencilla,4,10,mediano,9 Corscot Court,14,19
247,Ut tellus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",compartida,5,11,pequeño,869 Almo Crossing,6,2
248,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Nam nulla.,sencilla,4,10,mediano,7 Oriole Hill,12,43
249,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",compartida,4,10,pequeño,1 Arapahoe Center,14,31
250,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Donec ut dolor.,sencilla,1,7,mediano,956 Red Cloud Court,14,18
251,Phasellus in felis.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",compartida,1,7,pequeño,2 Moland Place,5,17
252,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,compartida,10,16,pequeño,5 Ilene Alley,14,19
253,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,9,15,pequeño,376 Garrison Way,5,43
254,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Donec quis orci eget orci vehicula condimentum.,sencilla,2,8,grande,6 Hauk Circle,10,39
255,Duis mattis egestas metus. Aenean fermentum.,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,compartida,6,12,grande,715 Dovetail Way,18,50
256,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Phasellus sit amet erat. Nulla tempus.,sencilla,3,9,grande,55 Nancy Crossing,19,26
257,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",compartida,5,11,pequeño,004 Steensland Street,14,10
258,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",compartida,4,10,pequeño,42885 Sunfield Plaza,12,41
259,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,compartida,3,9,grande,82223 Esker Drive,16,5
260,Duis bibendum.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",sencilla,7,13,mediano,87 Forest Terrace,18,50
261,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",compartida,6,12,pequeño,1 Burning Wood Street,15,31
262,Quisque ut erat. Curabitur gravida nisi at nibh.,Morbi a ipsum. Integer a nibh.,sencilla,10,16,mediano,8678 Bluestem Center,10,18
263,In hac habitasse platea dictumst.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,6,12,grande,16 Lerdahl Street,13,25
264,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,sencilla,10,16,pequeño,55 Green Court,19,49
265,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,6,12,pequeño,3776 Maple Road,15,20
266,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,sencilla,9,15,grande,00 Prairieview Circle,3,17
267,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,compartida,7,13,grande,513 Grover Terrace,10,33
268,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,compartida,5,11,grande,5945 Duke Plaza,6,22
269,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Etiam justo. Etiam pretium iaculis justo.,compartida,1,7,mediano,2106 Schurz Circle,11,37
270,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Maecenas tincidunt lacus at velit.,sencilla,3,9,mediano,5 Tennessee Lane,19,46
271,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",compartida,2,8,pequeño,9 Farmco Park,5,50
272,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",compartida,3,9,mediano,51373 Red Cloud Crossing,14,23
273,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,compartida,4,10,mediano,598 Clarendon Junction,12,17
274,Sed sagittis.,Vestibulum rutrum rutrum neque.,sencilla,4,10,pequeño,7159 Anhalt Circle,15,34
275,Etiam pretium iaculis justo.,Etiam vel augue.,compartida,10,16,grande,696 Kim Center,9,38
276,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Aenean sit amet justo.,compartida,4,10,pequeño,11 Macpherson Point,9,44
277,Nullam molestie nibh in lectus. Pellentesque at nulla.,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,sencilla,5,11,mediano,8356 Clyde Gallagher Junction,9,17
278,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,compartida,5,11,pequeño,95396 Southridge Trail,11,42
279,Phasellus in felis. Donec semper sapien a libero.,In sagittis dui vel nisl. Duis ac nibh.,compartida,2,8,pequeño,4 Bluejay Terrace,3,37
280,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",sencilla,7,13,grande,69 Laurel Road,8,20
281,In quis justo.,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",sencilla,7,13,mediano,7932 Comanche Parkway,1,43
282,Vivamus vel nulla eget eros elementum pellentesque.,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",compartida,9,15,grande,07 Westport Avenue,6,39
283,Etiam vel augue.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,sencilla,8,14,grande,555 Randy Trail,16,36
284,Nullam porttitor lacus at turpis.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",compartida,2,8,mediano,44378 Maryland Parkway,13,14
285,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Nunc nisl.,sencilla,10,16,pequeño,353 8th Avenue,19,29
286,In eleifend quam a odio.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,4,10,grande,22649 Maple Terrace,9,40
287,Ut at dolor quis odio consequat varius.,Etiam justo.,compartida,9,15,mediano,0 Dovetail Center,2,43
288,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Cras in purus eu magna vulputate luctus.,compartida,8,14,grande,81 Leroy Plaza,7,21
289,Aliquam non mauris. Morbi non lectus.,Integer non velit.,compartida,7,13,mediano,4612 Westridge Lane,13,48
290,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Nulla mollis molestie lorem.,sencilla,2,8,pequeño,963 Hallows Alley,13,48
291,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Nulla facilisi.,compartida,8,14,pequeño,9796 Dovetail Street,10,16
292,Mauris ullamcorper purus sit amet nulla.,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,sencilla,4,10,pequeño,95246 Autumn Leaf Plaza,5,19
293,Vestibulum sed magna at nunc commodo placerat.,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",sencilla,1,7,grande,45 Spenser Alley,19,20
294,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Ut tellus. Nulla ut erat id mauris vulputate elementum.,sencilla,7,13,grande,864 Kinsman Place,13,15
295,Nam tristique tortor eu pede.,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,compartida,6,12,mediano,4963 Huxley Alley,14,13
296,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Praesent id massa id nisl venenatis lacinia.,compartida,3,9,pequeño,130 Bashford Plaza,9,49
297,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Vivamus tortor. Duis mattis egestas metus.,sencilla,2,8,mediano,500 Lighthouse Bay Street,20,6
298,Suspendisse potenti. Nullam porttitor lacus at turpis.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",compartida,1,7,mediano,40 Bartillon Alley,1,31
299,Aliquam non mauris. Morbi non lectus.,In congue. Etiam justo.,compartida,5,11,mediano,422 Messerschmidt Lane,10,12
300,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Duis consequat dui nec nisi volutpat eleifend.,compartida,5,11,pequeño,32 American Ash Place,4,22
301,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,sencilla,4,10,grande,0 Main Terrace,20,34
302,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Duis bibendum. Morbi non quam nec dui luctus rutrum.,compartida,1,7,pequeño,2079 North Lane,2,12
303,Nulla suscipit ligula in lacus.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",sencilla,6,12,grande,32242 Rigney Street,14,35
304,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Praesent blandit.,sencilla,8,14,mediano,0 Vermont Alley,17,30
305,Ut tellus.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",sencilla,2,8,pequeño,7 Artisan Parkway,11,43
306,Donec ut dolor.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",compartida,3,9,mediano,59 Arkansas Road,3,23
307,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",sencilla,7,13,pequeño,60 Laurel Point,15,49
308,"In est risus, auctor sed, tristique in, tempus sit amet, sem.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",sencilla,2,8,grande,5701 Forster Avenue,9,46
309,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Sed sagittis.,sencilla,8,14,grande,64348 Carioca Trail,3,16
310,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,sencilla,8,14,pequeño,52 David Point,9,26
311,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Phasellus in felis.,sencilla,10,16,mediano,2 Bowman Center,6,38
312,Vivamus tortor. Duis mattis egestas metus.,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,compartida,3,9,grande,8 Schiller Point,13,15
313,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,compartida,6,12,grande,892 Veith Parkway,4,22
314,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,compartida,9,15,pequeño,43 Surrey Junction,8,35
315,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Praesent blandit.,sencilla,9,15,pequeño,901 Cordelia Terrace,8,14
316,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",sencilla,7,13,pequeño,4 Buena Vista Way,7,22
317,Etiam faucibus cursus urna.,Morbi vel lectus in quam fringilla rhoncus.,sencilla,1,7,pequeño,0616 Pankratz Drive,12,2
318,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,compartida,1,7,mediano,74 Mandrake Way,9,23
319,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Ut at dolor quis odio consequat varius.,sencilla,3,9,pequeño,2 Sachs Circle,6,44
320,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",sencilla,9,15,pequeño,3520 Graceland Center,2,41
321,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Vivamus in felis eu sapien cursus vestibulum.,compartida,5,11,pequeño,8137 Miller Alley,15,50
322,Curabitur at ipsum ac tellus semper interdum.,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,sencilla,7,13,mediano,7210 Reinke Street,10,28
323,In sagittis dui vel nisl. Duis ac nibh.,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,10,16,grande,0685 Crescent Oaks Parkway,14,24
324,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Etiam pretium iaculis justo.,compartida,2,8,pequeño,39 5th Court,9,7
325,Nulla tempus.,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,compartida,8,14,pequeño,793 John Wall Way,12,33
326,Proin at turpis a pede posuere nonummy. Integer non velit.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,compartida,9,15,pequeño,466 Crest Line Park,19,42
327,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Nullam varius. Nulla facilisi.,compartida,7,13,grande,6 Schiller Place,14,2
328,Aenean lectus. Pellentesque eget nunc.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,2,8,mediano,755 Arapahoe Center,9,32
329,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",In congue. Etiam justo. Etiam pretium iaculis justo.,sencilla,3,9,mediano,299 Quincy Circle,5,10
330,Etiam faucibus cursus urna.,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,compartida,10,16,mediano,65 Briar Crest Terrace,3,21
331,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,sencilla,7,13,pequeño,41081 Daystar Court,12,13
332,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,compartida,10,16,pequeño,8 Cottonwood Plaza,4,34
333,Donec semper sapien a libero.,Morbi quis tortor id nulla ultrices aliquet.,sencilla,8,14,mediano,11028 Haas Pass,18,48
334,Ut tellus. Nulla ut erat id mauris vulputate elementum.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,8,14,grande,4 Washington Point,12,31
335,Integer a nibh. In quis justo.,Pellentesque viverra pede ac diam.,sencilla,7,13,mediano,270 Colorado Crossing,7,47
336,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,10,16,mediano,18034 Novick Lane,5,43
337,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",compartida,4,10,pequeño,511 Scott Crossing,19,29
338,Nullam molestie nibh in lectus.,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,sencilla,7,13,mediano,244 Weeping Birch Court,19,16
339,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,sencilla,10,16,pequeño,71 Corscot Plaza,7,36
340,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",compartida,7,13,pequeño,806 Messerschmidt Street,3,10
341,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Vivamus tortor. Duis mattis egestas metus.,compartida,9,15,grande,58754 Acker Pass,8,50
342,In hac habitasse platea dictumst.,Nulla mollis molestie lorem.,sencilla,9,15,grande,7 Pankratz Way,14,42
343,In eleifend quam a odio. In hac habitasse platea dictumst.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,compartida,10,16,grande,2 Alpine Hill,12,47
344,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,9,15,grande,960 Prairie Rose Parkway,7,25
345,Etiam justo. Etiam pretium iaculis justo.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",sencilla,1,7,grande,04328 Burrows Junction,17,42
346,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Mauris ullamcorper purus sit amet nulla.,compartida,5,11,pequeño,4741 Lotheville Avenue,19,38
347,Nunc rhoncus dui vel sem.,Curabitur convallis.,compartida,1,7,pequeño,71414 Dixon Court,14,35
348,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,sencilla,10,16,pequeño,8 Thompson Point,8,10
349,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Praesent blandit lacinia erat.,compartida,1,7,pequeño,2273 4th Terrace,5,5
350,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Etiam faucibus cursus urna. Ut tellus.,compartida,10,16,pequeño,2 Weeping Birch Alley,5,50
351,In sagittis dui vel nisl.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,8,14,pequeño,02548 Eagan Point,1,26
352,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",compartida,9,15,pequeño,26 Old Shore Point,14,11
353,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,5,11,pequeño,525 Bartillon Lane,17,40
354,Proin eu mi.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,compartida,10,16,pequeño,52838 Lyons Street,4,16
355,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Aliquam erat volutpat.,sencilla,4,10,mediano,8956 Hollow Ridge Circle,7,36
356,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.","Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,7,13,grande,72548 Springs Hill,2,46
357,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,sencilla,6,12,mediano,05 Troy Avenue,5,50
358,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Cras non velit nec nisi vulputate nonummy.,sencilla,4,10,pequeño,8 Gerald Court,15,14
359,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,sencilla,6,12,pequeño,763 Esch Circle,9,11
360,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",compartida,10,16,grande,4087 Thompson Street,4,10
361,Sed vel enim sit amet nunc viverra dapibus.,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",compartida,2,8,pequeño,70480 Muir Hill,1,36
362,Vivamus vestibulum sagittis sapien.,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,sencilla,3,9,pequeño,427 Northland Way,18,11
363,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Nam dui.,sencilla,8,14,pequeño,4815 Toban Road,20,28
364,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,In quis justo.,sencilla,8,14,pequeño,8654 Gale Road,20,17
365,Proin eu mi. Nulla ac enim.,In eleifend quam a odio.,compartida,7,13,mediano,499 Steensland Hill,6,20
366,Sed ante. Vivamus tortor.,Pellentesque ultrices mattis odio. Donec vitae nisi.,sencilla,10,16,mediano,3 Buell Trail,12,43
367,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Morbi non quam nec dui luctus rutrum. Nulla tellus.,compartida,10,16,pequeño,80665 Longview Hill,4,28
368,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,Praesent blandit.,compartida,4,10,mediano,232 Washington Junction,10,12
