id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
163,Pellentesque at nulla.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,suite,0,grande,7 Reinke Parkway,8,5
164,Morbi quis tortor id nulla ultrices aliquet.,Sed accumsan felis.,estandar,0,pequeño,6267 Mayer Parkway,14,6
165,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Duis bibendum. Morbi non quam nec dui luctus rutrum.,semisuite,0,grande,68762 Mosinee Lane,14,3
166,Mauris lacinia sapien quis libero.,Donec posuere metus vitae ipsum. Aliquam non mauris.,suite,1,pequeño,04 Toban Terrace,2,3
167,Proin eu mi.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",estandar,1,grande,88387 Forest Dale Avenue,5,6
168,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Nam nulla.,suite,0,grande,4 Express Place,10,4
169,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Mauris lacinia sapien quis libero.,suite,0,pequeño,02489 Quincy Junction,1,6
170,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,suite,0,mediano,389 Dryden Place,10,5
171,Morbi quis tortor id nulla ultrices aliquet.,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,suite,0,pequeño,6 Washington Pass,1,4
172,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.","Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",suite,1,pequeño,60675 Vidon Point,17,4
173,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",estandar,0,pequeño,3 Springs Pass,12,2
174,Praesent id massa id nisl venenatis lacinia.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,suite,0,pequeño,40 Bluejay Pass,3,2
175,Aenean sit amet justo. Morbi ut odio.,Morbi non quam nec dui luctus rutrum.,estandar,1,mediano,0757 Bayside Way,8,3
176,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",suite,0,pequeño,98 Bowman Court,12,6
177,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",In blandit ultrices enim.,estandar,0,mediano,56313 Merchant Park,20,5
178,Cras in purus eu magna vulputate luctus.,In quis justo. Maecenas rhoncus aliquam lacus.,suite,0,pequeño,9 Forest Hill,14,3
179,Maecenas rhoncus aliquam lacus.,Curabitur convallis.,estandar,0,pequeño,32675 Melby Center,14,2
180,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Pellentesque at nulla.,semisuite,0,mediano,481 Hayes Road,17,3
181,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Integer a nibh. In quis justo.,semisuite,0,pequeño,72 Quincy Way,18,2
182,Praesent blandit lacinia erat.,Integer non velit.,semisuite,1,pequeño,4 Marcy Junction,12,3
183,Nunc rhoncus dui vel sem. Sed sagittis.,Ut tellus. Nulla ut erat id mauris vulputate elementum.,suite,1,pequeño,1 Rutledge Lane,8,4
184,Donec vitae nisi.,Vivamus tortor. Duis mattis egestas metus.,semisuite,0,grande,94 Dawn Court,5,2
185,Suspendisse accumsan tortor quis turpis. Sed ante.,Suspendisse accumsan tortor quis turpis.,semisuite,0,pequeño,37 Walton Crossing,1,4
186,Integer ac neque.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",estandar,0,pequeño,22 Corscot Center,13,6
187,Nulla mollis molestie lorem.,Vestibulum rutrum rutrum neque.,estandar,0,mediano,23649 Loomis Plaza,10,5
188,Nullam varius. Nulla facilisi.,Aliquam quis turpis eget elit sodales scelerisque.,suite,0,mediano,91 Blaine Pass,5,3
189,Fusce consequat. Nulla nisl.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",suite,0,pequeño,05 Magdeline Way,12,2
190,Praesent blandit.,Praesent blandit lacinia erat.,estandar,0,pequeño,02257 Waxwing Street,8,2
191,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Duis aliquam convallis nunc.,suite,0,pequeño,74033 Westend Trail,10,5
192,Donec ut mauris eget massa tempor convallis.,Ut tellus. Nulla ut erat id mauris vulputate elementum.,semisuite,0,grande,4 Birchwood Park,8,4
193,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Aliquam quis turpis eget elit sodales scelerisque.,suite,0,pequeño,0348 Grayhawk Drive,7,6
194,Pellentesque eget nunc.,Morbi non quam nec dui luctus rutrum.,suite,0,pequeño,395 Bowman Trail,5,4
195,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,suite,0,pequeño,35870 Schmedeman Court,3,3
196,Etiam faucibus cursus urna. Ut tellus.,Maecenas ut massa quis augue luctus tincidunt.,estandar,1,pequeño,71 Moland Junction,20,2
197,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Nulla facilisi.,estandar,0,pequeño,6857 Barby Trail,2,6
198,Maecenas pulvinar lobortis est.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,semisuite,0,mediano,29 Kedzie Hill,13,5
199,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Sed sagittis.,semisuite,1,pequeño,6671 Hooker Pass,19,6
200,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Sed accumsan felis. Ut at dolor quis odio consequat varius.,suite,0,pequeño,08988 Lerdahl Terrace,12,2
201,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,semisuite,1,pequeño,6 Shelley Court,7,2
202,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Vivamus tortor. Duis mattis egestas metus.,semisuite,1,grande,8 Cody Street,3,2
203,Donec quis orci eget orci vehicula condimentum.,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,suite,1,pequeño,9455 Tomscot Terrace,5,4
204,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,pequeño,3677 Wayridge Center,19,2
205,Curabitur convallis.,Aenean lectus.,semisuite,1,pequeño,982 New Castle Alley,15,5
206,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",suite,1,mediano,35792 Lotheville Drive,17,3
207,Phasellus id sapien in sapien iaculis congue.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",semisuite,1,grande,2 Arkansas Pass,12,5
208,In hac habitasse platea dictumst.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",semisuite,1,mediano,3401 Memorial Road,6,2
209,Quisque porta volutpat erat.,Vivamus tortor. Duis mattis egestas metus.,estandar,0,pequeño,2 Fisk Circle,9,4
210,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,estandar,1,pequeño,861 Hanson Way,16,5
211,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Duis bibendum.,suite,1,mediano,94299 Cordelia Avenue,10,4
212,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,suite,1,mediano,08 Butternut Plaza,9,3
213,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,suite,0,pequeño,0716 Paget Plaza,5,3
214,Aenean fermentum.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,suite,0,pequeño,97 Sherman Court,8,2
215,Quisque ut erat.,In quis justo.,semisuite,0,mediano,06393 Fair Oaks Pass,9,2
216,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Fusce posuere felis sed lacus.,suite,0,grande,45465 Mccormick Plaza,1,6
217,Morbi quis tortor id nulla ultrices aliquet.,Cras pellentesque volutpat dui.,semisuite,0,pequeño,76 Sauthoff Crossing,12,6
218,Praesent blandit.,Aenean lectus.,suite,0,pequeño,4420 Clove Hill,1,5
219,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",semisuite,0,pequeño,6 Monterey Road,16,5
220,Nullam porttitor lacus at turpis.,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,suite,1,grande,79 1st Circle,19,3
221,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",suite,1,pequeño,8207 Village Hill,9,2
222,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Maecenas ut massa quis augue luctus tincidunt.,suite,0,grande,418 Randy Way,16,2
223,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,semisuite,1,grande,0720 Hansons Pass,17,5
224,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Nulla ut erat id mauris vulputate elementum.,estandar,0,pequeño,6 Park Meadow Center,1,5
225,Proin at turpis a pede posuere nonummy. Integer non velit.,Nullam porttitor lacus at turpis.,suite,1,pequeño,10790 Beilfuss Alley,12,4
226,Aenean sit amet justo.,Pellentesque at nulla.,semisuite,0,grande,9 Nova Way,2,3
227,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",suite,1,pequeño,07863 Prairieview Plaza,14,5
228,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",semisuite,0,pequeño,23885 Sauthoff Point,3,4
229,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Integer a nibh.,semisuite,0,pequeño,0024 Harper Park,8,3
230,Etiam vel augue.,In hac habitasse platea dictumst.,semisuite,1,pequeño,317 Calypso Road,17,4
231,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Vivamus tortor.,suite,1,pequeño,35363 La Follette Avenue,4,6
232,In hac habitasse platea dictumst.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",semisuite,1,grande,12124 Debra Road,8,6
233,Donec ut mauris eget massa tempor convallis.,Morbi a ipsum.,suite,1,mediano,7 Maywood Street,17,6
234,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Quisque ut erat. Curabitur gravida nisi at nibh.,semisuite,1,grande,43 Lindbergh Center,9,4
235,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",In quis justo.,semisuite,0,grande,3052 East Terrace,14,2
236,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Suspendisse accumsan tortor quis turpis.,suite,0,grande,43951 Southridge Park,2,6
237,In hac habitasse platea dictumst.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",estandar,1,pequeño,4501 Becker Hill,18,4
238,In hac habitasse platea dictumst.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",suite,1,grande,11 Sycamore Circle,18,2
239,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Suspendisse potenti. Cras in purus eu magna vulputate luctus.,semisuite,1,mediano,86 Anzinger Lane,9,3
240,Pellentesque ultrices mattis odio.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",semisuite,1,pequeño,14189 School Street,5,4
241,Praesent blandit.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",suite,0,mediano,5 Lakewood Lane,14,4
242,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",suite,0,grande,4408 Sycamore Point,13,4
243,Aenean fermentum.,Nullam porttitor lacus at turpis.,suite,1,pequeño,3 Ramsey Trail,6,5
244,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Nulla tempus.,suite,1,grande,7 Lerdahl Hill,14,2
245,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",suite,0,pequeño,7 Schiller Avenue,12,2
246,Nullam molestie nibh in lectus.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",estandar,0,grande,5300 Eliot Terrace,9,6
247,Duis at velit eu est congue elementum.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",suite,1,pequeño,8641 Vernon Hill,18,2
248,Vestibulum sed magna at nunc commodo placerat.,Proin risus.,semisuite,1,pequeño,7 Monica Plaza,9,5
249,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Integer ac leo. Pellentesque ultrices mattis odio.,suite,1,pequeño,406 Waubesa Avenue,17,5
250,Aliquam sit amet diam in magna bibendum imperdiet.,Donec quis orci eget orci vehicula condimentum.,suite,1,mediano,5 Warner Junction,12,6
251,In congue. Etiam justo.,Curabitur at ipsum ac tellus semper interdum.,suite,0,mediano,7401 Blaine Avenue,16,4
252,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Aenean fermentum. Donec ut mauris eget massa tempor convallis.,suite,1,grande,73 Maple Wood Hill,15,4
253,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Ut at dolor quis odio consequat varius.,suite,1,mediano,1 Quincy Park,10,2
254,Nam dui.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",suite,0,grande,5 Melvin Plaza,17,4
255,Vivamus vel nulla eget eros elementum pellentesque.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",estandar,1,pequeño,336 Upham Court,11,3
256,Morbi ut odio.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",estandar,0,pequeño,16892 Waubesa Center,14,2
257,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Nullam porttitor lacus at turpis.,estandar,0,pequeño,6 Moose Place,19,2
258,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,estandar,0,grande,3 Crescent Oaks Lane,17,2
259,Donec ut dolor.,Nulla justo.,suite,0,pequeño,18 La Follette Road,10,4
260,Donec semper sapien a libero.,Maecenas rhoncus aliquam lacus.,suite,0,pequeño,4887 Independence Pass,19,3
261,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Nulla ut erat id mauris vulputate elementum. Nullam varius.,suite,0,pequeño,3847 Walton Crossing,20,2
262,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Etiam faucibus cursus urna.,suite,1,pequeño,00 Shopko Trail,5,4
263,In eleifend quam a odio. In hac habitasse platea dictumst.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",suite,1,pequeño,7 Hoepker Circle,2,5
264,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Nulla mollis molestie lorem.,suite,1,pequeño,5 Fieldstone Point,18,2
265,Donec dapibus.,Suspendisse ornare consequat lectus.,suite,1,grande,437 Hoffman Alley,2,6
266,Phasellus in felis. Donec semper sapien a libero.,Pellentesque at nulla.,estandar,1,grande,23865 East Court,3,6
267,In quis justo.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",estandar,1,mediano,7265 Comanche Court,8,4
268,Nulla ac enim.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,suite,1,pequeño,611 Acker Street,12,5
269,Donec dapibus. Duis at velit eu est congue elementum.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",estandar,1,mediano,604 Porter Pass,12,3
270,In sagittis dui vel nisl. Duis ac nibh.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,estandar,0,pequeño,617 Bellgrove Parkway,9,4
271,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Duis consequat dui nec nisi volutpat eleifend.,estandar,1,pequeño,6989 Eagan Parkway,15,3
272,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",semisuite,0,grande,0 Bartillon Parkway,12,3
273,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",semisuite,0,grande,6579 Waywood Alley,12,2
274,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,semisuite,1,grande,285 Garrison Center,16,4
275,Integer ac leo. Pellentesque ultrices mattis odio.,Duis at velit eu est congue elementum.,suite,1,grande,4780 Luster Lane,8,5
276,Curabitur at ipsum ac tellus semper interdum.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",suite,1,grande,404 Meadow Vale Circle,3,3
277,Nullam sit amet turpis elementum ligula vehicula consequat.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,suite,0,pequeño,88985 Alpine Pass,2,4
278,Mauris lacinia sapien quis libero.,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,suite,1,pequeño,484 Lukken Avenue,10,6
279,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Maecenas rhoncus aliquam lacus.,suite,1,pequeño,0487 Lukken Parkway,20,6
280,Nulla facilisi.,Proin at turpis a pede posuere nonummy.,suite,0,pequeño,054 Logan Point,16,2
281,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,0,pequeño,9481 Onsgard Lane,11,6
282,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Donec posuere metus vitae ipsum.,estandar,0,pequeño,40216 Hintze Street,17,2
283,Aenean fermentum.,Curabitur at ipsum ac tellus semper interdum.,suite,1,grande,557 Sachtjen Trail,2,6
284,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Cras non velit nec nisi vulputate nonummy.,semisuite,0,pequeño,47 Nancy Trail,11,5
285,Quisque ut erat. Curabitur gravida nisi at nibh.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",suite,1,pequeño,28445 Buhler Drive,6,2
286,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Integer ac leo. Pellentesque ultrices mattis odio.,suite,1,grande,04891 Badeau Pass,20,4
287,Maecenas pulvinar lobortis est.,Praesent lectus.,semisuite,1,mediano,80418 Morning Crossing,16,2
288,Proin eu mi. Nulla ac enim.,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,grande,07 Prairieview Trail,19,5
289,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,0,grande,2252 Brown Circle,5,5
290,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Vestibulum sed magna at nunc commodo placerat.,estandar,0,pequeño,68 Anniversary Street,15,3
291,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Quisque porta volutpat erat.,estandar,0,pequeño,2869 Evergreen Place,13,3
292,Sed ante. Vivamus tortor.,Phasellus id sapien in sapien iaculis congue.,semisuite,0,pequeño,34 Nobel Pass,1,6
293,Maecenas ut massa quis augue luctus tincidunt.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",estandar,0,pequeño,95 Myrtle Alley,17,6
294,Vivamus tortor. Duis mattis egestas metus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",suite,0,pequeño,799 Claremont Point,3,4
295,Cras pellentesque volutpat dui.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",estandar,1,pequeño,2753 Grim Place,11,2
296,In hac habitasse platea dictumst.,Morbi a ipsum.,suite,1,grande,70 Nelson Junction,1,3
297,Quisque ut erat.,Integer ac neque. Duis bibendum.,suite,0,grande,176 Oak Valley Parkway,18,4
298,Nulla tellus. In sagittis dui vel nisl.,Proin at turpis a pede posuere nonummy. Integer non velit.,suite,0,grande,7 Rowland Center,8,3
299,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",semisuite,1,mediano,71 Bunker Hill Parkway,16,5
300,Aenean sit amet justo.,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",suite,1,grande,9780 Dexter Alley,5,5
301,Pellentesque at nulla. Suspendisse potenti.,In eleifend quam a odio. In hac habitasse platea dictumst.,estandar,1,grande,9 Kings Place,18,4
302,Donec semper sapien a libero.,Nam dui.,semisuite,1,pequeño,2586 Orin Plaza,8,2
303,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",suite,1,pequeño,7 Holy Cross Avenue,15,6
304,Proin at turpis a pede posuere nonummy. Integer non velit.,Phasellus sit amet erat. Nulla tempus.,semisuite,0,pequeño,92 Mesta Center,11,5
305,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",In hac habitasse platea dictumst.,estandar,0,pequeño,3 Village Park,20,5
306,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",estandar,1,pequeño,4417 Gulseth Lane,18,3
307,Morbi non quam nec dui luctus rutrum.,Ut tellus.,estandar,1,pequeño,4 Shelley Circle,12,5
308,Ut at dolor quis odio consequat varius.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",estandar,0,pequeño,457 Moland Center,8,3
309,Suspendisse accumsan tortor quis turpis.,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,suite,1,pequeño,341 Trailsway Hill,14,3
310,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",semisuite,1,pequeño,57260 North Point,16,6
311,Etiam faucibus cursus urna.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",suite,1,pequeño,9 Boyd Street,8,6
312,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Donec dapibus. Duis at velit eu est congue elementum.,estandar,0,pequeño,4 Randy Trail,20,6
313,In eleifend quam a odio.,Integer ac leo.,semisuite,1,pequeño,637 Melody Hill,2,5
314,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Aliquam sit amet diam in magna bibendum imperdiet.,semisuite,1,grande,759 Lerdahl Drive,19,3
315,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Fusce consequat.,estandar,0,pequeño,1081 Pond Junction,8,4
316,Phasellus sit amet erat.,Aliquam non mauris.,semisuite,0,mediano,9 Canary Court,14,4
317,Nam dui.,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,suite,1,grande,22714 Quincy Pass,16,2
318,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",suite,0,mediano,45 American Avenue,3,6
319,Cras in purus eu magna vulputate luctus.,In hac habitasse platea dictumst.,suite,1,pequeño,46 Bartillon Junction,11,3
320,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",In sagittis dui vel nisl. Duis ac nibh.,suite,1,pequeño,47479 David Junction,19,3
