ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPCION,CAPACIDAD_MAXIMA
215,5 Eliot Way,Mauris ullamcorper purus sit amet nulla.,sencilla,1,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",4828
216,5402 Barnett Way,Cras non velit nec nisi vulputate nonummy.,compartida,1,Donec ut dolor.,4252
217,2 Florence Pass,Etiam vel augue.,sencilla,0,Suspendisse potenti.,3133
218,60 Surrey Way,Suspendisse accumsan tortor quis turpis.,sencilla,0,Pellentesque viverra pede ac diam.,4624
219,243 Homewood Place,Donec dapibus.,compartida,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",4753
220,36867 Division Parkway,In hac habitasse platea dictumst.,sencilla,1,Phasellus id sapien in sapien iaculis congue.,4070
221,618 Northwestern Road,Duis ac nibh.,sencilla,1,Proin eu mi.,4371
222,906 Sherman Hill,Vivamus tortor.,compartida,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",4651
223,922 Burrows Place,Etiam justo.,sencilla,0,Suspendisse potenti.,1066
224,200 Upham Alley,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,1,Donec posuere metus vitae ipsum.,1827
225,5 Karstens Court,Morbi non lectus.,compartida,1,Morbi non quam nec dui luctus rutrum.,4634
226,3 Manufacturers Road,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,0,Nulla justo.,3148
227,65744 Forest Run Court,In blandit ultrices enim.,sencilla,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3647
228,6 Texas Crossing,In eleifend quam a odio.,sencilla,1,Nam dui.,2481
229,356 Commercial Junction,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,1,Morbi a ipsum.,1780
230,39 Fairfield Park,Sed accumsan felis.,sencilla,1,In quis justo.,1660
231,80 Forest Avenue,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Nulla mollis molestie lorem.,1288
232,7 Basil Terrace,Duis aliquam convallis nunc.,sencilla,0,Vivamus vestibulum sagittis sapien.,3120
233,85766 Brown Parkway,Cras in purus eu magna vulputate luctus.,sencilla,0,Phasellus sit amet erat.,3325
234,4 Straubel Place,Etiam justo.,compartida,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2572
235,7668 Buell Street,Nulla tempus.,sencilla,1,Morbi a ipsum.,3679
236,0470 Bowman Terrace,Morbi porttitor lorem id ligula.,compartida,1,Nulla facilisi.,4155
237,8 Red Cloud Road,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,0,Suspendisse potenti.,4785
238,7 Jenifer Road,Pellentesque viverra pede ac diam.,sencilla,0,Nulla justo.,2211
239,13847 Northland Hill,Morbi vel lectus in quam fringilla rhoncus.,compartida,0,Quisque porta volutpat erat.,1595
240,0 Fordem Pass,Nunc purus.,compartida,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3783
241,79525 Pierstorff Drive,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",sencilla,0,Quisque porta volutpat erat.,4034
242,3 Messerschmidt Crossing,Mauris lacinia sapien quis libero.,sencilla,1,Aenean sit amet justo.,3130
243,58248 Village Crossing,Donec quis orci eget orci vehicula condimentum.,sencilla,1,Duis aliquam convallis nunc.,2149
244,524 Porter Road,Donec vitae nisi.,sencilla,1,Phasellus in felis.,2777
245,376 Myrtle Drive,In hac habitasse platea dictumst.,sencilla,1,Vivamus tortor.,3188
246,755 Sutteridge Pass,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Morbi quis tortor id nulla ultrices aliquet.,4359
247,8085 Independence Alley,Curabitur in libero ut massa volutpat convallis.,sencilla,0,Pellentesque at nulla.,2142
248,3 Brentwood Center,Curabitur convallis.,sencilla,1,In blandit ultrices enim.,3078
249,39 South Junction,Vivamus tortor.,sencilla,1,Cras pellentesque volutpat dui.,3803
250,4461 Golf Trail,Donec semper sapien a libero.,compartida,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",3045
251,7 Schmedeman Crossing,In hac habitasse platea dictumst.,compartida,1,Duis aliquam convallis nunc.,2904
252,8 Talisman Court,In blandit ultrices enim.,sencilla,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1226
253,3 Meadow Vale Lane,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,0,Vestibulum ac est lacinia nisi venenatis tristique.,2183
254,45 Green Pass,Nunc purus.,sencilla,1,Nulla ut erat id mauris vulputate elementum.,2075
255,3248 Service Parkway,Phasellus id sapien in sapien iaculis congue.,compartida,1,Integer tincidunt ante vel ipsum.,2583
256,1035 Maywood Place,Sed ante.,compartida,0,In hac habitasse platea dictumst.,4903
257,854 7th Road,Aenean sit amet justo.,sencilla,0,Suspendisse potenti.,3536
258,1 Talisman Pass,Aliquam sit amet diam in magna bibendum imperdiet.,sencilla,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",4353
259,457 Erie Lane,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",sencilla,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2758
260,9320 Golf Plaza,Aliquam non mauris.,compartida,1,Vestibulum ac est lacinia nisi venenatis tristique.,2307
261,2 Acker Park,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",sencilla,1,Curabitur gravida nisi at nibh.,3685
262,98 Butternut Drive,Donec semper sapien a libero.,sencilla,0,Morbi quis tortor id nulla ultrices aliquet.,4505
263,060 Oriole Crossing,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,sencilla,1,Duis mattis egestas metus.,4295
264,4 Nelson Alley,Fusce posuere felis sed lacus.,compartida,0,Nullam porttitor lacus at turpis.,1139
265,68 Graceland Hill,Nunc purus.,sencilla,0,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2254
266,3564 Mcbride Pass,Donec semper sapien a libero.,compartida,1,Pellentesque viverra pede ac diam.,1621
267,3 Helena Point,Duis bibendum.,compartida,1,In hac habitasse platea dictumst.,4879
268,1 Kenwood Point,Integer non velit.,sencilla,1,Duis consequat dui nec nisi volutpat eleifend.,1532
269,9 Ridgeview Street,In eleifend quam a odio.,sencilla,0,Donec ut mauris eget massa tempor convallis.,2388
270,309 Northridge Court,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,1,Etiam faucibus cursus urna.,1051
271,9 Northview Parkway,Nulla ut erat id mauris vulputate elementum.,compartida,0,Cras non velit nec nisi vulputate nonummy.,1828
272,556 2nd Trail,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,1,Quisque id justo sit amet sapien dignissim vestibulum.,2031
273,4 Heath Court,Morbi non quam nec dui luctus rutrum.,compartida,0,Aenean fermentum.,1010
274,692 Independence Terrace,Nulla suscipit ligula in lacus.,compartida,0,Donec posuere metus vitae ipsum.,2787
275,579 6th Center,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",compartida,0,Etiam vel augue.,1595
276,2 Talmadge Hill,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,1,Curabitur in libero ut massa volutpat convallis.,1759
277,06 Cardinal Terrace,In hac habitasse platea dictumst.,sencilla,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2752
278,8341 Dapin Alley,Pellentesque at nulla.,sencilla,0,In hac habitasse platea dictumst.,4712
279,389 Straubel Circle,Praesent blandit.,compartida,1,Fusce posuere felis sed lacus.,4239
280,99035 Jackson Court,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,0,In hac habitasse platea dictumst.,3281
281,832 Packers Street,Vivamus vel nulla eget eros elementum pellentesque.,compartida,0,Duis aliquam convallis nunc.,2816
282,22848 Melody Park,Duis at velit eu est congue elementum.,compartida,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",3180
283,602 Golf Junction,Ut at dolor quis odio consequat varius.,sencilla,0,Sed sagittis.,2226
284,2828 Boyd Court,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,0,Praesent lectus.,3105
285,3692 Eastlawn Road,Pellentesque viverra pede ac diam.,sencilla,0,Suspendisse potenti.,3996
286,2 Sutteridge Road,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4223
287,1575 Logan Place,Donec ut dolor.,sencilla,1,Proin risus.,3515
288,3000 Blackbird Alley,Mauris sit amet eros.,sencilla,1,Suspendisse potenti.,1152
289,7769 Red Cloud Lane,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,0,Donec semper sapien a libero.,3803
290,0 Mifflin Trail,Sed sagittis.,compartida,0,Duis bibendum.,2846
291,815 Johnson Plaza,In hac habitasse platea dictumst.,compartida,0,Suspendisse ornare consequat lectus.,2251
292,7 Loeprich Way,Duis aliquam convallis nunc.,compartida,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1454
293,442 Browning Alley,Nulla tempus.,sencilla,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3919
294,35951 Calypso Lane,Nullam porttitor lacus at turpis.,sencilla,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2243
295,465 Redwing Place,Sed accumsan felis.,compartida,0,Sed ante.,2307
296,604 Division Hill,Nunc rhoncus dui vel sem.,compartida,1,Curabitur gravida nisi at nibh.,1992
297,133 Susan Parkway,In eleifend quam a odio.,sencilla,1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4123
298,1 Lake View Court,Donec vitae nisi.,compartida,0,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2023
299,30 Becker Way,Donec ut dolor.,compartida,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1046
300,9497 West Court,Suspendisse potenti.,compartida,0,Nullam molestie nibh in lectus.,1253
301,1483 Bonner Road,Vivamus tortor.,compartida,0,Vivamus in felis eu sapien cursus vestibulum.,2302
302,7513 Bellgrove Parkway,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2939
303,60755 Morrow Park,Aliquam sit amet diam in magna bibendum imperdiet.,compartida,1,In hac habitasse platea dictumst.,2500
304,86 Homewood Way,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",compartida,0,Morbi non lectus.,1313
305,0142 6th Crossing,Nulla tellus.,sencilla,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1715
306,393 Almo Point,Suspendisse potenti.,sencilla,1,Pellentesque viverra pede ac diam.,2127
307,3288 Lukken Parkway,Duis consequat dui nec nisi volutpat eleifend.,compartida,0,Etiam pretium iaculis justo.,2310
308,8015 Main Circle,Suspendisse ornare consequat lectus.,compartida,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2978
309,78881 Rowland Court,Nulla mollis molestie lorem.,sencilla,1,In blandit ultrices enim.,4966
310,47 Cascade Place,Donec dapibus.,sencilla,0,Nunc purus.,1777
311,46 Ohio Road,Nunc rhoncus dui vel sem.,sencilla,1,Praesent blandit.,1215
312,58 Valley Edge Junction,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,sencilla,0,Etiam vel augue.,2681
313,5979 Hauk Center,In quis justo.,sencilla,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1854
314,091 Forest Run Way,Nam tristique tortor eu pede.,sencilla,1,Mauris lacinia sapien quis libero.,4859
315,5 Corscot Circle,Phasellus sit amet erat.,compartida,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1631
316,5819 Ridgeview Pass,Sed ante.,sencilla,1,Nunc purus.,4950
317,3 Service Junction,Vestibulum sed magna at nunc commodo placerat.,compartida,1,Sed vel enim sit amet nunc viverra dapibus.,2836
318,92 Summerview Hill,Fusce consequat.,compartida,0,Aliquam non mauris.,2501
319,623 Thompson Terrace,Aenean lectus.,sencilla,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1715
320,3 Acker Avenue,Integer tincidunt ante vel ipsum.,compartida,1,Integer tincidunt ante vel ipsum.,4598
321,8671 Warner Circle,Nunc rhoncus dui vel sem.,compartida,0,Nulla tellus.,3701
322,9 Golf Course Way,Praesent id massa id nisl venenatis lacinia.,compartida,0,Phasellus in felis.,2217
323,36 Clarendon Center,Praesent blandit.,sencilla,0,Integer ac neque.,4184
324,03104 Ryan Street,Mauris sit amet eros.,sencilla,1,Morbi non lectus.,2652
325,5 Walton Park,Ut at dolor quis odio consequat varius.,compartida,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2458
326,616 Londonderry Trail,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,compartida,1,Phasellus id sapien in sapien iaculis congue.,3395
327,20 American Ash Crossing,Etiam vel augue.,sencilla,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2271
328,88571 Forest Dale Park,Integer non velit.,compartida,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4319
329,3001 Graceland Park,Praesent id massa id nisl venenatis lacinia.,sencilla,1,Nulla ut erat id mauris vulputate elementum.,2271
330,95354 Leroy Road,Maecenas ut massa quis augue luctus tincidunt.,compartida,1,Praesent id massa id nisl venenatis lacinia.,2127
331,347 Charing Cross Avenue,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2192
332,9138 Hoard Plaza,Proin risus.,compartida,0,Integer ac leo.,2430
333,8 Kingsford Alley,Pellentesque eget nunc.,sencilla,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1652
334,762 Eastlawn Plaza,Aliquam non mauris.,sencilla,0,Proin risus.,1518
335,031 Ridgeview Plaza,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2662
336,89 Russell Avenue,Suspendisse accumsan tortor quis turpis.,sencilla,1,Quisque id justo sit amet sapien dignissim vestibulum.,4741
337,49 Mccormick Drive,Nulla facilisi.,sencilla,0,Nullam varius.,2251
338,75779 Moose Center,Nulla ac enim.,sencilla,1,In eleifend quam a odio.,4995
339,3 Columbus Center,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2716
340,293 Amoth Avenue,Quisque id justo sit amet sapien dignissim vestibulum.,sencilla,0,In hac habitasse platea dictumst.,1581
341,8153 Kings Alley,Proin risus.,compartida,1,Phasellus sit amet erat.,2654
342,25633 Randy Hill,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,compartida,1,Ut at dolor quis odio consequat varius.,1122
343,6 Scofield Plaza,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4238
344,9 Laurel Way,Phasellus in felis.,sencilla,1,Suspendisse ornare consequat lectus.,2907
345,687 Tennyson Avenue,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,0,Nullam porttitor lacus at turpis.,2773
346,60 Armistice Pass,Phasellus in felis.,sencilla,0,Maecenas rhoncus aliquam lacus.,2127
347,618 Reindahl Parkway,Morbi porttitor lorem id ligula.,compartida,0,Integer ac leo.,2594
348,182 Nancy Plaza,Nunc rhoncus dui vel sem.,compartida,1,Suspendisse accumsan tortor quis turpis.,2487
349,3 Everett Pass,Donec posuere metus vitae ipsum.,sencilla,1,Donec vitae nisi.,1644
350,329 Westerfield Park,Aenean lectus.,sencilla,1,Vivamus tortor.,3205
351,6402 Mesta Junction,Integer a nibh.,compartida,1,Pellentesque eget nunc.,3171
352,239 7th Circle,Aenean lectus.,compartida,1,Etiam justo.,2233
353,5790 Vera Circle,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,1,Donec vitae nisi.,1841
354,8632 Village Trail,Nunc rhoncus dui vel sem.,sencilla,1,In sagittis dui vel nisl.,4725
355,50 Shopko Parkway,Mauris ullamcorper purus sit amet nulla.,compartida,0,Suspendisse potenti.,3919
356,041 Rigney Road,Nullam varius.,compartida,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1709
357,137 Village Green Junction,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",sencilla,0,Donec ut dolor.,3402
358,19 Westerfield Point,Suspendisse potenti.,sencilla,1,Duis at velit eu est congue elementum.,1909
359,673 Eggendart Center,Nulla tempus.,sencilla,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4311
360,60653 Bluestem Terrace,In sagittis dui vel nisl.,compartida,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2893
361,87643 Sachtjen Terrace,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sencilla,0,Mauris sit amet eros.,3530
362,1 Monterey Alley,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",4024
363,66547 Bunting Alley,Suspendisse potenti.,sencilla,0,Duis at velit eu est congue elementum.,1325
364,7807 Artisan Alley,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",compartida,1,Cras non velit nec nisi vulputate nonummy.,1441
365,2643 Eggendart Parkway,Morbi ut odio.,compartida,1,Nam dui.,3896
366,61 Bartelt Drive,Nunc nisl.,compartida,1,Morbi porttitor lorem id ligula.,4130
367,01 Michigan Pass,In congue.,sencilla,1,Curabitur in libero ut massa volutpat convallis.,1187
368,863 Meadow Vale Circle,Integer tincidunt ante vel ipsum.,compartida,1,Pellentesque viverra pede ac diam.,2832
369,1111 Rockefeller Junction,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",sencilla,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2597
370,33360 Main Alley,Fusce consequat.,sencilla,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2915
371,1748 Duke Street,Aenean fermentum.,compartida,1,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2111
372,4858 Bonner Circle,Morbi ut odio.,compartida,0,Pellentesque viverra pede ac diam.,3109
373,92 Mendota Alley,Integer tincidunt ante vel ipsum.,compartida,0,Integer a nibh.,4187
374,191 Longview Trail,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,1,Morbi vel lectus in quam fringilla rhoncus.,1271
375,437 1st Parkway,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,0,Suspendisse potenti.,2929
376,6 Manufacturers Plaza,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2263
377,027 Amoth Place,Phasellus sit amet erat.,sencilla,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2023
378,712 Northport Center,Curabitur at ipsum ac tellus semper interdum.,sencilla,1,Aliquam non mauris.,4790
379,38 Wayridge Street,Aliquam non mauris.,sencilla,1,Proin eu mi.,4147
380,65 Evergreen Lane,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",sencilla,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2948
381,268 Green Alley,Proin at turpis a pede posuere nonummy.,sencilla,0,Aenean auctor gravida sem.,3923
382,98494 Melvin Drive,Curabitur at ipsum ac tellus semper interdum.,sencilla,0,Nam tristique tortor eu pede.,4357
383,34 Sloan Junction,Morbi quis tortor id nulla ultrices aliquet.,compartida,0,Phasellus in felis.,3855
384,4590 Packers Place,Integer a nibh.,sencilla,1,Nullam sit amet turpis elementum ligula vehicula consequat.,2750
385,407 Village Way,Aenean fermentum.,compartida,0,Ut tellus.,2566
386,99159 Namekagon Park,In hac habitasse platea dictumst.,compartida,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3648
387,7279 Merrick Hill,Praesent blandit lacinia erat.,sencilla,0,Nunc nisl.,3764
388,51 Meadow Ridge Street,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",sencilla,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1222
389,455 Grim Place,Nulla suscipit ligula in lacus.,compartida,1,Donec semper sapien a libero.,2384
390,5 Leroy Junction,Pellentesque ultrices mattis odio.,compartida,0,Maecenas tincidunt lacus at velit.,4057
391,10249 Briar Crest Junction,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sencilla,1,In hac habitasse platea dictumst.,1395
392,1 Texas Trail,Integer ac leo.,compartida,0,Ut at dolor quis odio consequat varius.,4664
393,98694 Arizona Terrace,Nulla suscipit ligula in lacus.,sencilla,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3121
394,49 Lien Crossing,Nulla justo.,compartida,0,Quisque porta volutpat erat.,4178
395,71 Vidon Crossing,In blandit ultrices enim.,sencilla,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2441
396,4 Londonderry Center,Duis consequat dui nec nisi volutpat eleifend.,sencilla,0,Nam nulla.,2997
397,49 Transport Trail,Proin eu mi.,sencilla,1,In quis justo.,3758
398,78932 Namekagon Plaza,In eleifend quam a odio.,compartida,0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4628
399,9 Ruskin Way,Integer ac leo.,sencilla,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3516
400,6 Warrior Road,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,compartida,1,Mauris ullamcorper purus sit amet nulla.,1389
401,3 Schiller Street,Aliquam sit amet diam in magna bibendum imperdiet.,compartida,0,Nulla ut erat id mauris vulputate elementum.,2212
402,444 2nd Lane,Cras in purus eu magna vulputate luctus.,compartida,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1472
403,81880 Kedzie Road,Aenean lectus.,sencilla,1,Nulla justo.,4816
404,4089 Summit Pass,Sed accumsan felis.,sencilla,0,Fusce posuere felis sed lacus.,1125
405,2 Caliangt Pass,In sagittis dui vel nisl.,compartida,1,Aenean fermentum.,3220
406,5 Continental Avenue,Donec ut dolor.,compartida,1,Aliquam sit amet diam in magna bibendum imperdiet.,1915
407,488 Corscot Crossing,In hac habitasse platea dictumst.,compartida,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4023
408,5687 Eastlawn Parkway,Donec quis orci eget orci vehicula condimentum.,sencilla,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",2130
409,9 Ohio Pass,In sagittis dui vel nisl.,sencilla,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3871
410,6 Atwood Parkway,Vivamus vestibulum sagittis sapien.,compartida,0,Donec quis orci eget orci vehicula condimentum.,3957
411,21967 Lindbergh Parkway,Nulla nisl.,sencilla,1,Nullam sit amet turpis elementum ligula vehicula consequat.,4438
412,81 Garrison Crossing,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",sencilla,0,Praesent lectus.,2532
413,2 Grayhawk Place,Aenean fermentum.,sencilla,0,Nullam molestie nibh in lectus.,4874
414,91 Becker Hill,In sagittis dui vel nisl.,sencilla,1,Morbi a ipsum.,1396
415,51927 Glendale Drive,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",sencilla,0,Integer a nibh.,4275
416,98 Ilene Crossing,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",sencilla,0,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4020
417,0132 Bartelt Way,In hac habitasse platea dictumst.,sencilla,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",3852
418,6 Cardinal Place,Sed ante.,compartida,1,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",4938
419,90755 Pierstorff Pass,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",compartida,1,Morbi a ipsum.,4791
420,12500 Sunbrook Road,Vivamus vestibulum sagittis sapien.,compartida,0,Maecenas tincidunt lacus at velit.,1324
421,7945 Arrowood Trail,Etiam faucibus cursus urna.,compartida,1,Nulla mollis molestie lorem.,1791
422,87008 Memorial Plaza,Suspendisse potenti.,sencilla,1,Ut tellus.,4760
423,38458 Westerfield Crossing,Maecenas rhoncus aliquam lacus.,compartida,0,Nullam varius.,3671
424,9 Atwood Lane,Nulla ac enim.,compartida,0,Aliquam non mauris.,4705
425,6167 Veith Road,Morbi non quam nec dui luctus rutrum.,sencilla,0,Vivamus vel nulla eget eros elementum pellentesque.,2980
426,4123 Duke Center,Integer non velit.,sencilla,1,Curabitur convallis.,1782
427,35 High Crossing Trail,Pellentesque at nulla.,sencilla,0,Nam tristique tortor eu pede.,3309
428,1670 Mallard Hill,Phasellus sit amet erat.,compartida,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1241
429,44438 Golden Leaf Court,Morbi non lectus.,compartida,1,In hac habitasse platea dictumst.,4093
430,85 Sutherland Drive,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",sencilla,0,Aenean fermentum.,4873
431,47417 Sullivan Court,In hac habitasse platea dictumst.,compartida,0,Suspendisse potenti.,4659
432,019 Sycamore Plaza,Quisque id justo sit amet sapien dignissim vestibulum.,compartida,1,Aenean lectus.,1500
433,76012 Michigan Point,Vivamus vestibulum sagittis sapien.,sencilla,1,Suspendisse potenti.,1537
434,5710 Hoepker Hill,Duis mattis egestas metus.,sencilla,0,Donec dapibus.,4199
435,97873 Annamark Point,Mauris ullamcorper purus sit amet nulla.,compartida,1,Nulla nisl.,4492
436,6837 Norway Maple Trail,Cras pellentesque volutpat dui.,sencilla,1,In quis justo.,3486
437,46 Artisan Trail,Vestibulum ac est lacinia nisi venenatis tristique.,sencilla,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2390
